method_id,project,file_path,startline,endline,method_loc,method_name,method_source,srp_score_llm,srp_label_llm,srp_confidence_llm,srp_notes_llm,ocp_score_llm,ocp_label_llm,ocp_confidence_llm,ocp_notes_llm,dip_score_llm,dip_label_llm,dip_confidence_llm,dip_notes_llm,overall_solid_score,overall_flags
systems/Projects/junit5-main/junit-platform-console/src/main/java/org/junit/platform/console/tasks/TestFeedPrintingListener.java:68-83,junit5,systems/Projects/junit5-main/junit-platform-console/src/main/java/org/junit/platform/console/tasks/TestFeedPrintingListener.java,68,83,16,executionFinished,"public void executionFinished (TestIdentifier testIdentifier, TestExecutionResult testExecutionResult) {
    TestExecutionResult.Status status = testExecutionResult.getStatus ();
    if (testExecutionResult.getThrowable ().isPresent ()) {
        Style style = Style.valueOf (testExecutionResult);
        String msg = formatTestIdentifier (testIdentifier);
        Throwable throwable = testExecutionResult.getThrowable ().get ();
        String stacktrace = indented (ExceptionUtils.readStackTrace (throwable));
        println (style, String.format (""%s"" + STATUS_SEPARATOR + ""%s%n"" + INDENTATION + ""%s"", msg, status, stacktrace));
    }
    else if (shouldPrint (testIdentifier) || testExecutionResult.getStatus () != SUCCESSFUL) {
        Style style = Style.valueOf (testExecutionResult);
        String msg = formatTestIdentifier (testIdentifier);
        println (style, String.format (""%s"" + STATUS_SEPARATOR + ""%s"", msg, status));
    }
}",1,Partial,0.55,"Appears to handle 'print result on execution finished', but whether this is a single responsibility depends on the class role and expected listener behavior.",1,Partial,0.6,"Only 2 branches, but they represent distinct formatting behaviors; unclear if future variants are expected or handled via polymorphism elsewhere.",2,Compliant,0.75,Method does not create replaceable dependencies; any coupling to output/formatting is via existing methods/utilities not instantiated here.,4,needs_more_context
systems/Projects/jmeter-master/src/protocol/ldap/src/main/java/org/apache/jmeter/protocol/ldap/sampler/LdapClient.java:82-91,jmeter,systems/Projects/jmeter-master/src/protocol/ldap/src/main/java/org/apache/jmeter/protocol/ldap/sampler/LdapClient.java,82,91,10,disconnect,"public void disconnect () {
    try {
        if (dirContext != null) {
            dirContext.close ();
            dirContext = null;
        }
    } catch (NamingException e) {
        log.error (""Ldap client - "", e);
    }
}",2,Compliant,0.78,,2,Compliant,0.7,,1,Partial,0.55,"No instantiation of collaborators in the method, but dependency management (injected vs concrete/static) is not visible here.",5,needs_more_context
systems/Projects/struts-main/plugins/tiles/src/test/java/org/apache/tiles/api/AttributeTest.java:191-197,struts,systems/Projects/struts-main/plugins/tiles/src/test/java/org/apache/tiles/api/AttributeTest.java,191,197,7,testToString,"public void testToString () {
    Expression expression = new Expression (""my.expression"", ""MYLANG"");
    Attribute attribute = new Attribute (""my.value"", expression, ""role1,role2"", ""myrenderer"");
    assertEquals (""my.value"", attribute.toString ());
    attribute.setValue (null);
    assertNotNull (attribute.toString ());
}",2,Compliant,0.78,,2,Compliant,0.72,,1,Partial,0.55,"These appear to be domain/value objects in a test, but without broader context it's unclear whether they are replaceable collaborators or simple data types.",5,needs_more_context
systems/Projects/struts-main/core/src/test/java/org/apache/struts2/validator/IntRangeValidatorTest.java:64-69,struts,systems/Projects/struts-main/core/src/test/java/org/apache/struts2/validator/IntRangeValidatorTest.java,64,69,6,setUp,"protected void setUp () throws Exception {
    super.setUp ();
    XmlConfigurationProvider provider = new StrutsXmlConfigurationProvider (""xwork-test-beans.xml"");
    container.inject (provider);
    loadConfigurationProviders (provider, new MockConfigurationProvider ());
}",2,Compliant,0.72,Method is a thin setup routine with sequential delegation typical of test fixtures.,2,Compliant,0.7,No structural signs of variant-encoding logic that would require modification for extensions.,0,Violated,0.78,"Method constructs concrete dependencies instead of receiving them via abstraction/injection (even though it later calls ""container.inject(provider)"").",4,
systems/Projects/hibernate-orm-main/hibernate-core/src/main/java/org/hibernate/dialect/type/PostgreSQLJsonPGObjectJsonbType.java:19-21,hibernate-orm,systems/Projects/hibernate-orm-main/hibernate-core/src/main/java/org/hibernate/dialect/type/PostgreSQLJsonPGObjectJsonbType.java,19,21,3,PostgreSQLJsonPGObjectJsonbType,"protected PostgreSQLJsonPGObjectJsonbType (EmbeddableMappingType embeddableMappingType, boolean jsonb) {
    super (embeddableMappingType, jsonb);
}",2,Compliant,0.9,,2,Compliant,0.85,,2,Compliant,0.8,,6,
systems/Projects/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder.java:944-994,jackson-databind,systems/Projects/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder.java,944,994,51,removeNonVisible,"public JsonProperty.Access removeNonVisible (boolean inferMutators, POJOPropertiesCollector parent) {
    JsonProperty.Access acc = findAccess ();
    if (acc == null) {
        acc = JsonProperty.Access.AUTO;
    }
    switch (acc) {
        case READ_ONLY :
            if (parent != null) {
                parent._collectIgnorals (getName ());
                for (PropertyName pn : findExplicitNames ()) {
                    parent._collectIgnorals (pn.getSimpleName ());
                }
            }
            _setters = null;
            _ctorParameters = null;
            if (! _forSerialization) {
                _fields = null;
            }
            break;
        case READ_WRITE :
            break;
        case WRITE_ONLY :
            _getters = null;
            if (_forSerialization) {
                _fields = null;
            }
            break;
        default :
        case AUTO :
            _getters = _removeNonVisible (_getters);
            _ctorParameters = _removeNonVisible (_ctorParameters);
            if (! inferMutators || (_getters == null)) {
                _fields = _removeNonVisible (_fields);
                _setters = _removeNonVisible (_setters);
            }
    }
    return acc;
}",1,Partial,0.55,Method appears to both compute/return an access value and mutate internal state (and optionally notify parent). Whether this is a single cohesive responsibility depends on class-level design.,0,Violated,0.8,"Method hard-codes per-access behavior in a switch, increasing modification risk when variants change.",2,Compliant,0.85,Method does not introduce new concrete dependencies; it operates on existing fields/parameters.,3,needs_more_context
systems/Projects/struts-main/plugins/javatemplates/src/main/java/org/apache/struts2/views/java/simple/LabelHandler.java:30-45,struts,systems/Projects/struts-main/plugins/javatemplates/src/main/java/org/apache/struts2/views/java/simple/LabelHandler.java,30,45,16,generate,"public void generate () throws IOException {
    Map < String, Object > params = context.getParameters ();
    Attributes a = new Attributes ();
    a.addDefaultToEmpty (""name"", params.get (""name"")).addIfExists (""for"", params.get (""for"")).addIfExists (""id"", params.get (""id"")).addIfExists (""class"", params.get (""cssClass"")).addIfExists (""style"", params.get (""cssStyle"")).addIfExists (""title"", params.get (""title""));
    super.start (""label"", a);
    String value = (String) params.get (""nameValue"");
    if (StringUtils.isNotEmpty (value)) characters (value);
    super.end (""label"");
}",2,Compliant,0.72,,2,Compliant,0.66,,1,Partial,0.55,Cannot determine from the method alone whether Attributes is a simple value/helper type (acceptable) or a replaceable collaborator; static utility usage may indicate coupling but not necessarily a replaceable dependency.,5,needs_more_context
systems/Projects/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/introspect/JacksonAnnotationIntrospector.java:604-631,jackson-databind,systems/Projects/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/introspect/JacksonAnnotationIntrospector.java,604,631,28,resolveSetterConflict,"public AnnotatedMethod resolveSetterConflict (MapperConfig < ? > config, AnnotatedMethod setter1, AnnotatedMethod setter2) {
    Class < ? > cls1 = setter1.getRawParameterType (0);
    Class < ? > cls2 = setter2.getRawParameterType (0);
    if (cls1.isPrimitive ()) {
        if (! cls2.isPrimitive ()) {
            return setter1;
        }
        return null;
    }
    else if (cls2.isPrimitive ()) {
        return setter2;
    }
    if (cls1 == String.class) {
        if (cls2 != String.class) {
            return setter1;
        }
    }
    else if (cls2 == String.class) {
        return setter2;
    }
    return null;
}",2,Compliant,0.78,,1,Partial,0.62,needs_more_context,2,Compliant,0.86,,5,needs_more_context
systems/Projects/selenium-trunk/java/test/org/openqa/selenium/bidi/script/ScriptEventsTest.java:68-81,selenium,systems/Projects/selenium-trunk/java/test/org/openqa/selenium/bidi/script/ScriptEventsTest.java,68,81,14,canListenToRealmCreatedEvent,"void canListenToRealmCreatedEvent () throws ExecutionException, InterruptedException, TimeoutException {
    try (Script script = new Script (driver)) {
        CompletableFuture < RealmInfo > future = new CompletableFuture < > ();
        script.onRealmCreated (future :: complete);
        BrowsingContext context = new BrowsingContext (driver, driver.getWindowHandle ());
        context.navigate (new Pages (appServer).blankPage);
        RealmInfo realmInfo = future.get (5, TimeUnit.SECONDS);
        assertThat (realmInfo.getRealmId ()).isNotNull ();
        assertThat (realmInfo.getRealmType ()).isEqualTo (RealmType.WINDOW);
    }
}",1,Partial,0.55,"Method mixes setup, action, waiting, and verification; in a test this may be cohesive, but class/test conventions are not visible.",0,Violated,0.75,No extensibility mechanism is visible; changes to timing/expected type would require modifying this method.,0,Violated,0.8,Method constructs concrete collaborators directly rather than receiving abstractions/injected dependencies.,1,needs_more_context
systems/Projects/SolidLeaning/fitnesse/test/fitnesse/responders/refactoring/SearchReplaceMethodResponderTest.java:103-130,fitnesse,systems/Projects/SolidLeaning/fitnesse/test/fitnesse/responders/refactoring/SearchReplaceMethodResponderTest.java,103,130,28,replacementsWithDifferentTextEvaluatedToSameMethodTwoParams,"public void replacementsWithDifferentTextEvaluatedToSameMethodTwoParams () throws Exception {
    WikiPageUtil.addPage (somePage, PathParser.parse (""ChildPage1""), ""|update value|param|with value|newParam|"");
    WikiPageUtil.addPage (somePage, PathParser.parse (""ChildPage2""), ""|update|param|value with|newParam|value|"");
    WikiPageUtil.addPage (somePage, PathParser.parse (""ChildPage3""), ""|update|param|value with value|newParam|"");
    WikiPageUtil.addPage (somePage, PathParser.parse (""ChildPage4""), ""|ensure|update value|param|with value|newParam|"");
    WikiPageUtil.addPage (somePage, PathParser.parse (""ChildPage5""), ""|reject|update value|param|with value|newParam|"");
    WikiPageUtil.addPage (somePage, PathParser.parse (""ChildPage6""), ""|check|update value|param|with value|newParam|someValue|"");
    WikiPageUtil.addPage (somePage, PathParser.parse (""ChildPage7""), ""|check not|update value|param|with value|newParam|someValue|"");
    WikiPageUtil.addPage (somePage, PathParser.parse (""ChildPage8""), ""|note|update value|param|with value|newParam|"");
    WikiPageUtil.addPage (somePage, PathParser.parse (""ChildPage9""), ""| |update value|param|with value|newParam|"");
    WikiPageUtil.addPage (somePage, PathParser.parse (""ChildPage10""), ""|show|update value|param|with value|newParam|"");
    WikiPageUtil.addPage (somePage, PathParser.parse (""ChildPage11""), ""|$value=|update value|param|with value|newParam|"");
    String content = getResponseContentUsingSearchReplace (""|update value|param|with value|newParam|"", ""|updated value|param|with value|newParam|"");
    assertThat (content, containsString (""ChildPage1""));
    assertThat (content, containsString (""ChildPage2""));
    assertThat (content, containsString (""ChildPage3""));
    assertThat (content, containsString (""ChildPage4""));
    assertThat (content, containsString (""ChildPage5""));
    assertThat (content, containsString (""ChildPage6""));
    assertThat (content, containsString (""ChildPage7""));
    assertThat (content, containsString (""ChildPage8""));
    assertThat (content, containsString (""ChildPage9""));
    assertThat (content, containsString (""ChildPage10""));
    assertThat (content, containsString (""ChildPage11""));
}",1,Partial,0.55,Method is a test; within the method it performs both fixture construction and assertions. Whether this is considered a single cohesive responsibility depends on test conventions and class context.,1,Partial,0.6,"Method is linear with no variant-encoding control flow, but extensibility is limited by hard-coded test data; OCP relevance is uncertain at method level for tests.",2,Compliant,0.75,Method does not create replaceable collaborators directly; it relies on existing utilities and test helpers.,4,needs_more_context
systems/Projects/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/deser/std/JsonNodeDeserializer.java:352-381,jackson-databind,systems/Projects/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/deser/std/JsonNodeDeserializer.java,352,381,30,_handleDuplicateField,"protected void _handleDuplicateField (JsonParser p, DeserializationContext ctxt, JsonNodeFactory nodeFactory, String fieldName, ObjectNode objectNode, JsonNode oldValue, JsonNode newValue) throws IOException {
    if (ctxt.isEnabled (DeserializationFeature.FAIL_ON_READING_DUP_TREE_KEY)) {
        ctxt.reportInputMismatch (JsonNode.class, ""Duplicate field '%s' for `ObjectNode`: not allowed when `DeserializationFeature.FAIL_ON_READING_DUP_TREE_KEY` enabled"", fieldName);
    }
    if (ctxt.isEnabled (StreamReadCapability.DUPLICATE_PROPERTIES)) {
        if (oldValue.isArray ()) {
            ((ArrayNode) oldValue).add (newValue);
            objectNode.replace (fieldName, oldValue);
        }
        else {
            ArrayNode arr = nodeFactory.arrayNode ();
            arr.add (oldValue);
            arr.add (newValue);
            objectNode.replace (fieldName, arr);
        }
    }
}",2,Compliant,0.78,,1,Partial,0.55,needs_more_context,2,Compliant,0.8,,5,needs_more_context
systems/Projects/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/introspect/POJOPropertiesCollector.java:747-767,jackson-databind,systems/Projects/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/introspect/POJOPropertiesCollector.java,747,767,21,_isDelegatingConstructor,"private boolean _isDelegatingConstructor (PotentialCreator ctor) {
    switch (ctor.creatorModeOrDefault ()) {
        case DELEGATING :
            return true;
        case DISABLED :
        case PROPERTIES :
            return false;
        default :
    }
    if (ctor.paramCount () == 1) {
        if ((_jsonValueAccessors != null) && ! _jsonValueAccessors.isEmpty ()) {
            return true;
        }
    }
    return false;
}",2,Compliant,0.78,,1,Partial,0.55,"Branching may be simple control flow, but it also appears to encode policy variants; cannot confirm extensibility mechanisms beyond this method.",2,Compliant,0.86,,5,needs_more_context
systems/Projects/jackson-databind-2.19/src/test/java/com/fasterxml/jackson/databind/module/SimpleModuleTest.java:56-58,jackson-databind,systems/Projects/jackson-databind-2.19/src/test/java/com/fasterxml/jackson/databind/module/SimpleModuleTest.java,56,58,3,getSchema,"public JsonNode getSchema (SerializerProvider provider, Type typeHint) {
    return null;
}",1,Partial,0.35,Cannot determine responsibility/cohesion because the method is unimplemented.,2,Compliant,0.6,"Method contains no logic that would need modification for new variants; however, it is a stub.",2,Compliant,0.7,No observable tight coupling introduced within the method.,5,needs_more_context
systems/Projects/jmeter-master/src/components/src/main/java/org/apache/jmeter/visualizers/PropertyControlGui.java:199-210,jmeter,systems/Projects/jmeter-master/src/components/src/main/java/org/apache/jmeter/visualizers/PropertyControlGui.java,199,210,12,initializeTableModel,"private void initializeTableModel () {
    tableModel = new ObjectTableModel (new String [] {COLUMN_NAMES_0, COLUMN_NAMES_1}, new Functor [] {new Functor (Map.Entry.class, ""getKey""), new Functor (Map.Entry.class, ""getValue"")}, new Functor [] {null, new Functor (Map.Entry.class, ""setValue"", new Class [] {Object.class})}, new Class [] {String.class, String.class});
}",2,Compliant,0.78,,1,Partial,0.55,needs_more_context,0,Violated,0.74,,3,needs_more_context
systems/Projects/SolidLeaning/fitnesse/test/fitnesse/wikitext/parser/HeadingsTest.java:26-29,fitnesse,systems/Projects/SolidLeaning/fitnesse/test/fitnesse/wikitext/parser/HeadingsTest.java,26,29,4,setUpLineSeparator,"public void setUpLineSeparator () {
    originalLineSeparator = System.getProperty (LINE_SEPARATOR);
    System.setProperty (LINE_SEPARATOR, ""\n"");
}",2,Compliant,0.72,,1,Partial,0.45,needs_more_context,0,Violated,0.8,,3,needs_more_context
systems/Projects/junit5-main/jupiter-tests/src/test/java/org/junit/jupiter/engine/descriptor/JupiterTestDescriptorTests.java:64-70,junit5,systems/Projects/junit5-main/jupiter-tests/src/test/java/org/junit/jupiter/engine/descriptor/JupiterTestDescriptorTests.java,64,70,7,constructFromClass,"void constructFromClass () {
    ClassTestDescriptor descriptor = new ClassTestDescriptor (uniqueId, TestCase.class, configuration);
    assertEquals (TestCase.class, descriptor.getTestClass ());
    assertThat (descriptor.getTags ()).containsExactly (TestTag.create (""inherited-class-level-tag""), TestTag.create (""classTag1""), TestTag.create (""classTag2""));
}",2,Compliant,0.78,,2,Compliant,0.72,,1,Partial,0.55,needs_more_context,5,needs_more_context
systems/Projects/jackson-databind-2.19/src/test/java/com/fasterxml/jackson/databind/introspect/AccessorNamingStrategyTest.java:70-75,jackson-databind,systems/Projects/jackson-databind-2.19/src/test/java/com/fasterxml/jackson/databind/introspect/AccessorNamingStrategyTest.java,70,75,6,findNameForRegularGetter,"public String findNameForRegularGetter (AnnotatedMethod method, String name) {
    if (name.startsWith (""Get"")) {
        return name.substring (3);
    }
    return null;
}",2,Compliant,0.9,,1,Partial,0.55,needs_more_context,2,Compliant,0.85,,5,needs_more_context
systems/Projects/commons-lang-master/src/main/java/org/apache/commons/lang3/util/FluentBitSet.java:129-131,commons-lang,systems/Projects/commons-lang-master/src/main/java/org/apache/commons/lang3/util/FluentBitSet.java,129,131,3,cardinality,"public int cardinality () {
    return bitSet.cardinality ();
}",2,Compliant,0.9,,2,Compliant,0.85,,1,Partial,0.55,needs_more_context: cannot determine whether 'bitSet' is an abstracted dependency or a fixed concrete collaborator from this method alone.,5,needs_more_context
systems/Projects/jackson-databind-2.19/src/test/java/com/fasterxml/jackson/databind/struct/UnwrapSingleArrayScalarsTest.java:416-438,jackson-databind,systems/Projects/jackson-databind-2.19/src/test/java/com/fasterxml/jackson/databind/struct/UnwrapSingleArrayScalarsTest.java,416,438,23,testBigInteger,"public void testBigInteger () throws Exception {
    BigInteger value = new BigInteger (""-1234567890123456789012345567809"");
    BigInteger result = NO_UNWRAPPING_READER.readValue (value.toString (), BigInteger.class);
    assertEquals (value, result);
    try {
        NO_UNWRAPPING_READER.readValue (""["" + value.toString () + ""]"", BigInteger.class);
        fail (""Exception was not thrown when attempting to read a single value array of BigInteger when UNWRAP_SINGLE_VALUE_ARRAYS feature is disabled"");
    } catch (MismatchedInputException exp) {
        _verifyNoDeserFromArray (exp);
    }
    result = UNWRAPPING_READER.readValue (""["" + value.toString () + ""]"", BigInteger.class);
    assertEquals (value, result);
    try {
        UNWRAPPING_READER.readValue (""["" + value.toString () + "","" + value.toString () + ""]"", BigInteger.class);
        fail (""Exception was not thrown when attempting to read a multi-value array of BigInteger when UNWRAP_SINGLE_VALUE_ARRAYS feature is enabled"");
    } catch (MismatchedInputException exp) {
        verifyException (exp, ""Attempted to unwrap"");
    }
}",2,Compliant,0.72,,2,Compliant,0.7,,1,Partial,0.55,needs_more_context,5,needs_more_context
systems/Projects/jmeter-master/src/protocol/http/src/test/java/org/apache/jmeter/gui/action/ParseCurlCommandActionTest.java:459-468,jmeter,systems/Projects/jmeter-master/src/protocol/http/src/test/java/org/apache/jmeter/gui/action/ParseCurlCommandActionTest.java,459,468,10,testDnsServer,"public void testDnsServer () throws Exception {
    ParseCurlCommandAction p = new ParseCurlCommandAction ();
    DNSCacheManager dnsCacheManager = new DNSCacheManager ();
    BasicCurlParser basicCurlParser = new BasicCurlParser ();
    Request request = basicCurlParser.parse (""curl 'http://jmeter.apache.org/' --dns-servers '0.0.0.0'"");
    Method method = getMethodFor (""createDnsServer"", Request.class, DNSCacheManager.class);
    method.invoke (p, request, dnsCacheManager);
    assertEquals (""0.0.0.0"", dnsCacheManager.getServers ().get (0).getStringValue (), ""the dns server should be set in DNSCacheManager"");
}",2,Compliant,0.78,,2,Compliant,0.7,,1,Partial,0.55,"As a unit test, direct instantiation may be acceptable; without broader context it's unclear whether these are replaceable collaborators or simple helpers.",5,needs_more_context
systems/Projects/junit5-main/platform-tests/src/test/java/org/junit/platform/launcher/core/DefaultLauncherEngineFilterTests.java:151-168,junit5,systems/Projects/junit5-main/platform-tests/src/test/java/org/junit/platform/launcher/core/DefaultLauncherEngineFilterTests.java,151,168,18,launcherThrowsExceptionWhenNoEngineMatchesIncludeEngineFilter,"void launcherThrowsExceptionWhenNoEngineMatchesIncludeEngineFilter (@TrackLogRecords
LogRecordListener log) {
    var engine = new DemoHierarchicalTestEngine (""first"");
    TestDescriptor test1 = engine.addTest (""test1"", noOp);
    LauncherDiscoveryRequest request = request ().selectors (selectUniqueId (test1.getUniqueId ())).filters (includeEngines (""second"")).build ();
    var launcher = createLauncher (engine);
    var exception = assertThrows (JUnitException.class, () -> launcher.discover (request));
    assertThat (exception.getMessage ()).startsWith (""No TestEngine ID matched the following include EngineFilters: [second]."").contains (""Please fix/remove the filter or add the engine."").contains (""Registered TestEngines:\n- first ("").endsWith (""Registered EngineFilters:\n- EngineFilter that includes engines with IDs [second]"");
    assertThat (log.stream (WARNING)).isEmpty ();
}",2,Compliant,0.78,,2,Compliant,0.74,,1,Partial,0.55,The instantiated type appears to be a test engine; without broader context it's unclear whether this is a replaceable collaborator or a local test fixture.,5,needs_more_context
systems/Projects/jmeter-master/src/core/src/main/java/org/apache/jmeter/gui/UndoHistory.java:306-319,jmeter,systems/Projects/jmeter-master/src/core/src/main/java/org/apache/jmeter/gui/UndoHistory.java,306,319,14,endUndoTransaction,"void endUndoTransaction () {
    if (! isEnabled ()) {
        return;
    }
    if (! isTransaction ()) {
        log.error (""Undo transaction ended without beginning"", new Exception ());
        return;
    }
    SimpleCompoundEdit edit = transactions.pop ();
    edit.end ();
    if (! edit.isEmpty ()) {
        addEdit (edit);
    }
}",2,Compliant,0.72,,2,Compliant,0.7,,1,Partial,0.55,"No clear instantiation of external services, but replaceability of logger and SimpleCompoundEdit cannot be determined from this method alone.",5,needs_more_context
systems/Projects/struts-main/core/src/test/java/org/apache/struts2/util/UnknownHandlerManagerTest.java:57-75,struts,systems/Projects/struts-main/core/src/test/java/org/apache/struts2/util/UnknownHandlerManagerTest.java,57,75,19,testEmptyStack,"public void testEmptyStack () throws ConfigurationException {
    final String filename = ""org/apache/struts2/config/providers/xwork-unknownhandler-stack-empty.xml"";
    ConfigurationProvider provider = buildConfigurationProvider (filename);
    loadConfigurationProviders (provider);
    configurationManager.reload ();
    UnknownHandlerManager unknownHandlerManager = new DefaultUnknownHandlerManager ();
    container.inject (unknownHandlerManager);
    List < UnknownHandler > unknownHandlers = unknownHandlerManager.getUnknownHandlers ();
    assertNotNull (unknownHandlers);
    assertEquals (2, unknownHandlers.size ());
    UnknownHandler uh1 = unknownHandlers.get (0);
    UnknownHandler uh2 = unknownHandlers.get (1);
    assertTrue (uh1 instanceof SomeUnknownHandler);
    assertTrue (uh2 instanceof SomeUnknownHandler);
}",2,Compliant,0.78,,2,Compliant,0.74,,0,Violated,0.8,,4,
systems/Projects/struts-main/core/src/test/java/org/apache/struts2/dispatcher/TwoFilterIntegrationTest.java:152-180,struts,systems/Projects/struts-main/core/src/test/java/org/apache/struts2/dispatcher/TwoFilterIntegrationTest.java,152,180,29,run,"private MockHttpServletResponse run (String uri, Map < String, String > filterInitParams, final Filter...filters) throws ServletException, IOException {
    final LinkedList < Filter > filterList = new LinkedList < > (Arrays.asList (filters));
    MockHttpServletRequest request = new MockHttpServletRequest ();
    MockHttpServletResponse response = new MockHttpServletResponse ();
    MockFilterConfig filterConfig = new MockFilterConfig ();
    MockFilterChain filterChain = new MockFilterChain () {
        @Override
        public void doFilter (ServletRequest req, ServletResponse res) {
            Filter next = (filterList.size () > 0 ? filterList.removeFirst () : null);
            if (next != null) {
                try {
                    next.doFilter (req, res, this);
                } catch (IOException | ServletException e) {
                    throw new RuntimeException (e);
                }
            }
        }
    }
    ;
    filterInitParams.forEach (filterConfig :: addInitParameter);
    request.setRequestURI (uri);
    for (Filter filter : filters) {
        filter.init (filterConfig);
    }
    filterList.removeFirst ().doFilter (request, response, filterChain);
    assertNull (ActionContext.getContext ());
    assertNull (Dispatcher.getInstance ());
    return response;
}",1,Partial,0.55,"Method mixes setup/orchestration of a filter chain with post-conditions/assertions; in a test helper this may be acceptable, but cohesion depends on surrounding test design.",2,Compliant,0.75,No switch/else-if variant encoding; extension is primarily via providing different Filter implementations.,1,Partial,0.6,"In test code, concrete mocks and static access are common; method-level structure shows tight coupling to specific classes, but replaceability expectations are unclear.",4,needs_more_context
systems/Projects/jmeter-master/src/protocol/http/src/main/java/org/apache/jmeter/protocol/http/gui/CookiePanel.java:261-265,jmeter,systems/Projects/jmeter-master/src/protocol/http/src/main/java/org/apache/jmeter/protocol/http/gui/CookiePanel.java,261,265,5,createTestElement,"public TestElement createTestElement () {
    CookieManager cookieManager = new CookieManager ();
    modifyTestElement (cookieManager);
    return cookieManager;
}",2,Compliant,0.78,"Method is a thin factory/orchestrator: instantiate, configure, return.",2,Compliant,0.72,"No method-level extensibility risk signals (e.g., switch/if chains, policy constants) are present.",0,Violated,0.7,Method is tightly coupled to the concrete CookieManager type; replacing the implementation would require modifying this method.,4,
systems/Projects/jmeter-master/src/protocol/native/src/main/java/org/apache/jmeter/protocol/system/SystemSampler.java:207-209,jmeter,systems/Projects/jmeter-master/src/protocol/native/src/main/java/org/apache/jmeter/protocol/system/SystemSampler.java,207,209,3,getDirectory,"public String getDirectory () {
    return getPropertyAsString (DIRECTORY, FileServer.getDefaultBase ());
}",2,Compliant,0.78,,2,Compliant,0.7,,0,Violated,0.72,,4,
systems/Projects/selenium-trunk/java/test/org/openqa/selenium/WebNetworkTest.java:351-405,selenium,systems/Projects/selenium-trunk/java/test/org/openqa/selenium/WebNetworkTest.java,351,405,55,canRemoveRequestHandler,"void canRemoveRequestHandler () throws InterruptedException {
    Route route = Route.matching (req -> req.getUri ().contains (""network"")).to (() -> req -> {
        HttpResponse response = new HttpResponse ();
        req.getHeaderNames ().forEach (header -> {
            String value = req.getHeader (header);
            response.addHeader (header, value);
        });
        return response.setContent (utf8String (""Received response for network""));
    });
    appServer = new NettyAppServer (route);
    appServer.start ();
    Predicate < URI > filter = uri -> uri.getPath ().contains (""network"");
    CountDownLatch latch = new CountDownLatch (1);
    page = appServer.whereIs (""network.html"");
    long id = ((RemoteWebDriver) driver).network ().addRequestHandler (filter, httpRequest -> new HttpRequest (HttpMethod.HEAD, page).addHeader (""test"", ""network-intercept""));
    ((RemoteWebDriver) driver).network ().removeRequestHandler (id);
    Network network = new Network (driver);
    network.onResponseCompleted (responseDetails -> {
        List < Header > headers = responseDetails.getResponseData ().getHeaders ();
        headers.forEach (header -> {
            if (header.getName ().equals (""test"")) {
                assertThat (header.getValue ().getValue ()).isEqualTo (""network-intercept"");
                latch.countDown ();
            }
        });
    });
    driver.get (page);
    latch.await (5, TimeUnit.SECONDS);
    assertThat (latch.getCount ()).isEqualTo (1);
}",0,Violated,0.78,"Method mixes server setup, network interception configuration, event handling, and test assertions/synchronization.",1,Partial,0.55,"No multi-branch variant logic, but several embedded constants and inline behaviors suggest modifications would be needed for changes; unclear if this is intended as fixed test logic.",0,Violated,0.74,"Method constructs concrete infrastructure/collaborator types directly, increasing coupling and reducing replaceability at the method level.",1,
